Column1,A,B,C,D,E,F,G,result,month,year,time
1,CREATED_DATE,CREATED_DATE minus Hour,USER_ID,TRANSACTION_ID,TYPE,CURRENCY,AMOUNT,1,,,
2,09-01-2016 00:18,09-01-2016,45e3c222-38ac-4fdb-b092-ff1639e4438c,27d7fd11-d885-4d2c-9ed1-daa89b7bda1d,TOPUP,EUR,177.38,43,1.0,2016.0,00:18:00
3,09-01-2016 02:28,09-01-2016,57c11728-b979-4856-bada-1d268726cfe9,2e1ee26c-0d24-4931-a7f9-0caa0d07eb2e,BANK_TRANSFER,EUR,310.27,2,1.0,2016.0,02:28:00
4,09-01-2016 04:00,09-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,bfd20e6f-ddb3-4237-bcd2-f7f8d967e36e,CARD_PAYMENT,EUR,96.44,27,1.0,2016.0,04:00:00
5,09-01-2016 10:26,09-01-2016,3f6bb28c-f945-4027-9178-747956c3ea58,85037186-039a-4ae5-9fea-e87f30822218,BANK_TRANSFER,EUR,288.51,22,1.0,2016.0,10:26:00
6,09-01-2016 11:37,09-01-2016,f54baeeb-7282-4d23-9bb7-e8396ce1b159,8e1e938a-1916-4d5e-b261-82c61a6979d6,CARD_PAYMENT,GBP,88.45,65,1.0,2016.0,11:37:00
7,09-01-2016 12:16,09-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,19931f9b-d87a-411e-9797-57271aead71d,TOPUP,EUR,267.71,78,1.0,2016.0,12:16:00
8,09-01-2016 12:26,09-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,23ba2192-0c73-4d6b-8588-d4f7de3dbfc5,BANK_TRANSFER,GBP,288.25,78,1.0,2016.0,12:26:00
9,09-01-2016 18:02,09-01-2016,2e9e1e2f-e61c-44c3-adb4-4cb6f9c10d5b,5e76d32f-63f7-4e79-a81f-e9acc5b507b4,ATM,GBP,24.85,3,1.0,2016.0,18:02:00
10,09-01-2016 20:26,09-01-2016,86f4e494-3245-4081-9ea8-71dc5fe99b00,f0943b49-44d0-460e-a301-09a312250046,TOPUP,EUR,192.73,1,1.0,2016.0,20:26:00
11,09-01-2016 22:26,09-01-2016,57c11728-b979-4856-bada-1d268726cfe9,02423bf9-55ce-4999-8a4e-b6927a99e482,CARD_PAYMENT,EUR,209.88,2,1.0,2016.0,22:26:00
12,10-01-2016 06:55,10-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,212955ea-a529-4731-9f5c-f9825244d40d,BANK_TRANSFER,EUR,344.51,18,1.0,2016.0,06:55:00
13,10-01-2016 10:19,10-01-2016,5fe58683-e1b6-4246-bd4a-55004fcec0a4,819ff7ca-eb0c-4105-b33e-e65c49ed3894,TOPUP,EUR,62.68,5,1.0,2016.0,10:19:00
14,10-01-2016 12:37,10-01-2016,f54baeeb-7282-4d23-9bb7-e8396ce1b159,05b34fb4-c9f2-4021-b14c-984e61a659b4,BANK_TRANSFER,GBP,222.51,65,1.0,2016.0,12:37:00
15,10-01-2016 16:38,10-01-2016,9e988c5b-71d0-4f3e-8f81-b3c30aa9c240,39098534-38dd-4e46-a1e0-eeee5d23b289,ATM,EUR,112.77,52,1.0,2016.0,16:38:00
16,10-01-2016 16:38,10-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,c36f05a9-9b98-48de-b910-023e27489d25,CARD_PAYMENT,EUR,154.5,78,1.0,2016.0,16:38:00
17,10-01-2016 17:51,10-01-2016,26e8432c-5fdb-4b67-82e6-18f341d511a1,3ea23ef2-d4fd-40d0-9a84-2b6ab51fdeec,ATM,GBP,265.96,61,1.0,2016.0,17:51:00
18,10-01-2016 22:14,10-01-2016,87a390af-2f35-40ec-a111-16d43fc5a3e3,286ad87c-3cf1-4c33-954d-999fb2e7242f,BANK_TRANSFER,EUR,281.43,58,1.0,2016.0,22:14:00
19,11-01-2016 05:02,11-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,97275606-88d9-4b76-933d-1fe1e14fc550,CARD_PAYMENT,EUR,278.54,27,1.0,2016.0,05:02:00
20,11-01-2016 13:26,11-01-2016,97528ad1-413e-461a-9083-188da333c9e1,24a186d7-9cfe-433c-aae3-cecf8d775143,BANK_TRANSFER,EUR,270.17,38,1.0,2016.0,13:26:00
21,11-01-2016 17:23,11-01-2016,1a9e22bd-4cec-47c4-8196-92038ba2e603,59dac066-802d-4ece-8789-177024914ba2,TOPUP,GBP,297.27,21,1.0,2016.0,17:23:00
22,11-01-2016 23:03,11-01-2016,22bbfc3f-c3c0-49cd-aa94-3c5f6c1008ff,08d4bb7e-54f6-43b1-9542-625373e1c7c4,ATM,GBP,81.45,1,1.0,2016.0,23:03:00
23,12-01-2016 05:32,12-01-2016,41ec9d0b-100b-4a74-9d09-534dc76967a6,10d1815f-e66e-43b2-9398-832adea93670,TOPUP,EUR,29.43,26,1.0,2016.0,05:32:00
24,12-01-2016 11:52,12-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,ff8ea706-df8c-4a71-9901-e15d19f48751,BANK_TRANSFER,GBP,242.3,18,1.0,2016.0,11:52:00
25,12-01-2016 14:03,12-01-2016,f54baeeb-7282-4d23-9bb7-e8396ce1b159,09913cc7-3730-452c-918c-97b23b8ed7e4,P2P_TRANSFER,GBP,225.38,65,1.0,2016.0,14:03:00
26,12-01-2016 14:48,12-01-2016,10a3ed6c-b711-409d-bb7d-4a0cba9a2ad8,5b336f39-b66c-4ff5-a5af-1f4e0ef52ae1,BANK_TRANSFER,GBP,182.86,1,1.0,2016.0,14:48:00
